what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1341247501338
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341247501348
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341247501348
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341247501353
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1341247501353
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341247501353
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341247501358
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341247501363
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1341247501363
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1341247501368
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1341247501368
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1341247501368
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1341247501373
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1341247501378
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1341247501378
started,bundle,com.google.gdt.eclipse.core,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.core",1341247501383
started,bundle,com.google.gdt.eclipse.login,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.login",1341247501383
started,bundle,com.google.gdt.eclipse.managedapis,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.managedapis",1341247501388
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.suite.ext",1341247501388
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1341247501388
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1341247501393
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1341247501393
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1341247501398
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1341247501403
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1341247501448
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1341247501448
os,sysinfo,,,"win32",1341247501463
arch,sysinfo,,,"x86",1341247501463
ws,sysinfo,,,"win32",1341247501463
locale,sysinfo,,,"en_US",1341247501463
processors,sysinfo,,,"2",1341247501463
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341247501463
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1341247501463
java.specification.name,sysinfo,,,"Java Platform API Specification",1341247501463
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341247501463
java.specification.version,sysinfo,,,"1.7",1341247501463
java.vendor,sysinfo,,,"Oracle Corporation",1341247501463
java.version,sysinfo,,,"1.7.0_04",1341247501463
java.vm.info,sysinfo,,,"mixed mode, sharing",1341247501463
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341247501463
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341247501463
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341247501463
java.vm.specification.version,sysinfo,,,"1.7",1341247501463
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341247501463
java.vm.version,sysinfo,,,"23.0-b21",1341247501463
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1341247502118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341247566979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341247567171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1341247567171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341247569969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341247577655
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341247581742
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341247582651
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341247582670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.restartWorkbench",1341247582884
stopped,bundle,org.eclipse.core.boot,3.1.200.v20100505,"org.eclipse.core.boot",1341247583079
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1341247583083
stopped,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1341247583086
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1341247583089
stopped,bundle,org.eclipse.pde.ds.core,1.0.100.v20100601,"org.eclipse.pde.ds.core",1341247583091
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1341247583094
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1341247583100
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1341247583104
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1341247583107
stopped,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1341247583109
stopped,bundle,org.eclipse.pde.ua.core,1.0.100.v20110516,"org.eclipse.pde.ua.core",1341247583112
stopped,bundle,com.google.gdt.eclipse.appengine.rpc,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.appengine.rpc",1341247583114
stopped,bundle,com.google.gdt.eclipse.maven.e37,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.maven.e37",1341247583116
stopped,bundle,com.google.gdt.eclipse.gph.e36,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.gph.e36",1341247583118
stopped,bundle,com.google.gdt.eclipse.gph.hge,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.gph.hge",1341247583120
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.gph.subclipse",1341247583122
stopped,bundle,com.google.gdt.eclipse.gph.subversive,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.gph.subversive",1341247583124
stopped,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.suite.ext",1341247583124
stopped,bundle,com.google.gdt.eclipse.gph,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.gph",1341247583127
